,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,Time
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6131.743869551,6131.743869551,36131.743869551,6131.743869551,6131.743869551,6131.743869551,6131.743869551,6131.743869551,6131.743869551,6131.743869551,6131.743869551,6131.743869551,0.0
1,0.26005319451588277,0.166632219858823,0.2056266033265104,0.28952012531553983,0.18324716771676205,0.12973543070314536,0.10870251563473166,0.10110504587133302,0.09662192473187786,0.08970429185990647,0.07660003510842053,0.056168822275900684,6387.662045173884,5821.688718769785,25730.40372162907,14948.788537417244,11338.396221666517,8515.918636466002,7010.504344950927,6410.087849808999,6237.253445002395,6243.843294933235,6352.021692993694,6125.468887540689,0.25252525252525254
2,0.4137475113011361,0.26138109120272907,0.2852993051075353,0.3501757810579672,0.24909993097111954,0.17495740566771148,0.1303423192221919,0.10505462848685995,0.0878658711491301,0.07144844504838246,0.053661918008681385,0.035031870476973384,5985.98602323603,5585.156867692408,18704.15840573974,18261.27315197105,16690.838483352833,14036.716367105768,11218.287663973086,9001.367861794459,7635.221470947259,6984.67699583466,6784.2014970933415,6236.584172081673,0.5050505050505051
3,0.5353849737750188,0.3413843343595243,0.3401706576869748,0.38613722221500935,0.2954245350117537,0.2132940001047138,0.15197117258289908,0.11001423441021163,0.08066783880314869,0.0578295510215164,0.038967368516039456,0.02338985801328137,5271.180853521136,5496.744240831775,14100.872325370954,18542.841097213673,18734.161148110503,17827.904472377897,15914.01372144357,13510.024699229758,11219.522206437048,9440.029309894091,8272.64027676705,6848.200688018227,0.7575757575757576
4,0.6219472031247488,0.4064184716540706,0.38166055291833334,0.410651461105048,0.3294066995067954,0.2445748808978602,0.1713505671707559,0.11623332755438957,0.07698764868968613,0.04981403383224442,0.030376977036962214,0.01687103058038632,4549.6835548155705,5408.7873137121305,11097.40548422774,17423.266329087703,18547.439338103126,19053.132006529482,18651.974761860747,17338.384369903622,15403.400256261833,13263.74288054916,11302.959690370853,8761.942777711862,1.0101010101010102
5,0.6826460728163892,0.4587225158892425,0.41441668740443893,0.4284807536856925,0.3552530429081683,0.2703328002105136,0.18923538120236477,0.12375092662280236,0.07695890110808408,0.04586849864082975,0.025920311301861614,0.01331377956887491,3939.3734135101104,5276.810028874195,9135.522741068206,15791.693519689272,17279.77248360526,18562.371454424487,19308.93295705659,19270.78057121829,18400.806574391805,16860.86396765714,14944.8324943587,12399.394554231038,1.2626262626262628
6,0.725805381513969,0.5006286928929362,0.44079518442665705,0.44204484144784595,0.3755949979220779,0.2921941764258633,0.20612990840392156,0.1327963295974248,0.07958642822560409,0.0450079185175828,0.023979131018498148,0.01154295720002102,3458.1219406109476,5107.870411139486,7843.562181198086,14098.631430965768,15638.402053082918,17232.463480363087,18616.22359141251,19495.46815430374,19672.789434228227,19106.642387987875,17895.932781898486,17283.52382406353,1.5151515151515151
7,0.7571604371089979,0.5342176336016559,0.46227624555663516,0.45273241691338467,0.3921468353176547,0.31129193107917746,0.22243111377698277,0.14317103821605784,0.08420373683570948,0.046311719709816616,0.023638473786114587,0.01087167300306485,3087.79498662886,4921.015664845143,6979.624928603313,12548.580343498788,13990.671677830724,15628.37691469096,17273.145220113867,18655.97172328614,19552.824260271173,19839.621229117885,19497.962546516028,22410.494454672586,1.7676767676767677
8,0.7804444637480403,0.5612252506972045,0.47991255623522777,0.46139143527571486,0.40601036520251593,0.328341339022004,0.23839603122710976,0.1544745178774652,0.0905232301137392,0.04894502372106897,0.024477532172227316,0.010885424897951792,2803.7434782045634,4732.624788678938,6389.011828350481,11214.911775628589,12500.962190053417,14050.227608066587,15734.234005976516,17323.62286930442,18603.83594485507,19448.861521022092,19803.20040935811,26853.928410796216,2.0202020202020203
9,0.7980862302416054,0.583047959230184,0.49449561968531847,0.4685627614064013,0.41787878707904375,0.34382078466366506,0.25401815243933723,0.16659632640008215,0.09800133817127332,0.05269111903030829,0.026061442005830642,0.01136512365850586,2584.4835303762493,4553.376821695389,5973.900845816971,10105.743440232276,11224.36361824501,12631.575241834375,14243.68469762812,15864.746701541313,17294.78214416521,18423.505292666858,19207.219155436673,30081.457007612804,2.272727272727273
10,0.811694353018705,0.6007867146470461,0.5066347599825298,0.4746017133244599,0.42820399974008705,0.35800359119033653,0.26929396279667617,0.17930424725187802,0.10642342542526763,0.057262633616847414,0.028216122184460686,0.012172467145232693,2413.4930080417635,4389.0321661357675,5672.80525102148,9200.232835658322,10161.889519593919,11414.914035190355,12908.973700750226,14474.955063402502,15920.806727147896,17147.572011879,18132.86710001658,31962.73856013997,2.5252525252525255
