,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,Time
0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
1,0.4934644930754815,0.24961255628024487,0.2395539687942384,0.3961752087520796,0.3261844570022287,0.24092322492101081,0.1537771982354218,0.06985943109287143,0.02534641509169308,0.007917896825584242,0.002832475735049628,0.001159651058914487,0.5050505050505051
2,0.58872162835305,0.3959437369573985,0.3605160082798819,0.44931081593907557,0.41646202611865385,0.34998296528713596,0.1836924082422141,0.04694473003047721,0.008308934414278702,0.001482346968626263,0.0002666004596404946,4.737281196199437e-05,1.0101010101010102
3,0.6357471254635197,0.4890474398991807,0.44097976610927364,0.47536810247908207,0.45519038515799404,0.40941954496867644,0.28674967857740236,0.08913877184598182,0.015357542854637118,0.0026522005462979873,0.0004502283302556827,7.110071899557165e-05,1.5151515151515151
4,0.663597814147648,0.5469791376972811,0.49243905343777955,0.4913414963710527,0.4787399154464134,0.45052188225387285,0.37845995511718616,0.1906274285765481,0.045951251521172964,0.007758808111034159,0.0012952542747291078,0.00019323194552744313,2.0202020202020203
5,0.6823855572524031,0.5806308586185891,0.5249549562032491,0.5014536611103814,0.49381995379393606,0.4773901069957574,0.4360212189532242,0.32665686802422816,0.1166754310249532,0.01996142103287924,0.0033388822590450142,0.0005074874158603273,2.5252525252525255
6,0.6948558835156436,0.6005311379132607,0.5437406122124492,0.5076120473763936,0.5031669965336403,0.49382042189936004,0.4712073474656287,0.4113558105415931,0.2501740806819765,0.06725365506449918,0.011267977114306492,0.0017220921152915998,3.0303030303030303
7,0.7026173485686326,0.6124600765100612,0.5541382992291376,0.5112303366326711,0.5087021571680043,0.5034840234797556,0.49119182718364285,0.4593681255589006,0.3753830196966105,0.16985532645126744,0.03648075791940878,0.0053445122795281325,3.5353535353535355
8,0.7071907710922146,0.6193797275931032,0.5599602861234679,0.5131847594641796,0.5119716174116432,0.5091240006462887,0.5024838798563098,0.4856469888975816,0.4400594529506497,0.3157567623013481,0.09926635006526922,0.015157341045317501,4.040404040404041
9,0.7098276543814264,0.6233454760054252,0.5632526041688053,0.5142498881418274,0.5136455529200965,0.5123261744615542,0.5087484900637299,0.499683887064406,0.47524238671702734,0.40566322754261247,0.20916960550647892,0.043325757354307035,4.545454545454546
